ماشین,لپ تاپ,تلفن همراه
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'سمند EF7', 'رنگ': 'نقره\u200cای', 'کارکرد (کیلومتر)': 138332, 'سال ساخت': 1390, 'قیمت (تومان)': 722000000, 'توضیحات فروشنده': 'گیربکس تازه سرویس شده، موتور بدون ایراد، بدنه خط\u200cوخش ندارد.', 'وضعیت_موتور': 'سالم', 'وضعیت_گیربکس': 'خوب', 'وضعیت_رنگ': 'نو', 'وضعیت_داخلی': 'سالم'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Acer Nitro 5', 'رنگ': 'خاکستری', 'سال ساخت': 2023, 'حافظه RAM (گیگابایت)': 32, 'حافظه ذخیره\u200cسازی (گیگابایت)': 512, 'وضعیت فیزیکی': 'در حد نو', 'سلامت باتری': '۷۰–۸۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'فقط لپ\u200cتاپ', 'قیمت (تومان)': 737000000, 'توضیحات فروشنده': 'فقط یک لکه رنگ جزئی روی قاب، فنی سالم.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'Xiaomi 12', 'رنگ': 'طلایی', 'سال تولید': 2022, 'حافظه داخلی (GB)': 256, 'وضعیت فیزیکی': 'خط و خش جزئی', 'سلامت باتری': 'بالای ۹۰٪', 'وضعیت صفحه نمایش': 'با یک ترک ریز', 'لوازم جانبی': 'فقط گوشی', 'قیمت (تومان)': 32600000, 'توضیحات فروشنده': 'دارای برچسب پشت و جلو، بدون خط.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'تندر 90 پلاس', 'رنگ': 'سبز', 'کارکرد (کیلومتر)': 173970, 'سال ساخت': 1398, 'قیمت (تومان)': 1563000000, 'توضیحات فروشنده': 'تک صاحب، داخل کابین همانند صفر، بدون خط و خش.', 'وضعیت_موتور': 'سالم', 'وضعیت_گیربکس': 'خوب', 'وضعیت_رنگ': 'بدون خط و خش', 'وضعیت_داخلی': 'تمیز و بدون پارگی'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Acer Swift 3', 'رنگ': 'مشکی', 'سال ساخت': 2022, 'حافظه RAM (گیگابایت)': 8, 'حافظه ذخیره\u200cسازی (گیگابایت)': 256, 'وضعیت فیزیکی': 'آکبند', 'سلامت باتری': '۸۰–۹۰٪', 'وضعیت صفحه نمایش': 'نقطه\u200cدار', 'لوازم جانبی': 'فقط شارژر', 'قیمت (تومان)': 275000000, 'توضیحات فروشنده': 'بدون کوچک\u200cترین ایراد، همه چیز اورجینال.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'Xiaomi Mi 11 Lite', 'رنگ': 'سفید', 'سال تولید': 2021, 'حافظه داخلی (GB)': 256, 'وضعیت فیزیکی': 'خط و خش جزئی', 'سلامت باتری': '۸۰ تا ۹۰٪', 'وضعیت صفحه نمایش': 'با یک ترک ریز', 'لوازم جانبی': 'کامل (شارژر، هندزفری، جعبه)', 'قیمت (تومان)': 13600000, 'توضیحات فروشنده': 'صفحه نمایش سالم، خط و خش ندارد.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'پژو 206 صندوقدار', 'رنگ': 'نقره\u200cای', 'کارکرد (کیلومتر)': 164532, 'سال ساخت': 1390, 'قیمت (تومان)': 858000000, 'توضیحات فروشنده': 'بدنه نو، بدون زنگ\u200cزدگی، با کاپوت تعویض.', 'وضعیت_موتور': 'بی\u200cنقص', 'وضعیت_گیربکس': 'خوب', 'وضعیت_رنگ': 'نو', 'وضعیت_داخلی': 'تمیز'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'HP Spectre x360', 'رنگ': 'مشکی', 'سال ساخت': 2021, 'حافظه RAM (گیگابایت)': 8, 'حافظه ذخیره\u200cسازی (گیگابایت)': 1024, 'وضعیت فیزیکی': 'در حد نو', 'سلامت باتری': '۸۰–۹۰٪', 'وضعیت صفحه نمایش': 'تعویض\u200cشده', 'لوازم جانبی': 'شارژر و کیف', 'قیمت (تومان)': 741000000, 'توضیحات فروشنده': 'محصول شرکتی، فاکتور و گارانتی دارد.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'Realme 9', 'رنگ': 'سفید', 'سال تولید': 2023, 'حافظه داخلی (GB)': 128, 'وضعیت فیزیکی': 'در حد نو', 'سلامت باتری': 'کمتر از ۷۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'فقط گوشی', 'قیمت (تومان)': 10700000, 'توضیحات فروشنده': 'فروش فوری، گوشی کاملاً سالم.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'برلیانس H330', 'رنگ': 'زرد', 'کارکرد (کیلومتر)': 61456, 'سال ساخت': 1396, 'قیمت (تومان)': 1861000000, 'توضیحات فروشنده': 'سرویس روغن و فیلتر تازه انجام شده، دیسک و صفحه نو.', 'وضعیت_موتور': 'بدون ایراد', 'وضعیت_گیربکس': 'مناسب', 'وضعیت_رنگ': 'بدون رنگ', 'وضعیت_داخلی': 'تمیز و بدون پارگی'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Huawei MateBook D 14', 'رنگ': 'مشکی', 'سال ساخت': 2022, 'حافظه RAM (گیگابایت)': 16, 'حافظه ذخیره\u200cسازی (گیگابایت)': 256, 'وضعیت فیزیکی': 'تمیز', 'سلامت باتری': '۸۰–۹۰٪', 'وضعیت صفحه نمایش': 'با یک ترک ریز', 'لوازم جانبی': 'شارژر و کیف', 'قیمت (تومان)': 434000000, 'توضیحات فروشنده': 'سیستم خنک\u200cکنندگی ارتقا یافته، پردازنده سالم.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'iPhone 11', 'رنگ': 'سبز', 'سال تولید': 2020, 'حافظه داخلی (GB)': 64, 'وضعیت فیزیکی': 'تمیز', 'سلامت باتری': '۸۰ تا ۹۰٪', 'وضعیت صفحه نمایش': 'با یک ترک ریز', 'لوازم جانبی': 'فقط گوشی', 'قیمت (تومان)': 24100000, 'توضیحات فروشنده': 'باطری سالم، یکبار هم باز نشده.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'سمند EF7', 'رنگ': 'خاکستری', 'کارکرد (کیلومتر)': 71016, 'سال ساخت': 1401, 'قیمت (تومان)': 643000000, 'توضیحات فروشنده': 'کارکرد واقعی، موتور تازه تعمیر، با ضمانت.', 'وضعیت_موتور': 'سالم', 'وضعیت_گیربکس': 'خوب', 'وضعیت_رنگ': 'بدون خط و خش', 'وضعیت_داخلی': 'تمیز'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Lenovo Legion 5', 'رنگ': 'خاکستری', 'سال ساخت': 2024, 'حافظه RAM (گیگابایت)': 16, 'حافظه ذخیره\u200cسازی (گیگابایت)': 512, 'وضعیت فیزیکی': 'آکبند', 'سلامت باتری': 'بالای ۹۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'فقط لپ\u200cتاپ', 'قیمت (تومان)': 576000000, 'توضیحات فروشنده': 'فروش فوری، فقط تماس، قیمت مناسب.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'iPhone 13', 'رنگ': 'طلایی', 'سال تولید': 2021, 'حافظه داخلی (GB)': 512, 'وضعیت فیزیکی': 'خط و خش جزئی', 'سلامت باتری': 'کمتر از ۷۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'کامل (شارژر، هندزفری، جعبه)', 'قیمت (تومان)': 29800000, 'توضیحات فروشنده': 'به تازگی ریست شده، آماده استفاده.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'چری آریزو 5', 'رنگ': 'قرمز', 'کارکرد (کیلومتر)': 175875, 'سال ساخت': 1396, 'قیمت (تومان)': 2407000000, 'توضیحات فروشنده': 'موتور و گیربکس عالی، رینگ اسپرت، زاپاس استفاده نشده.', 'وضعیت_موتور': 'سالم', 'وضعیت_گیربکس': 'مناسب', 'وضعیت_رنگ': 'بدون رنگ', 'وضعیت_داخلی': 'تمیز'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Asus ZenBook 14', 'رنگ': 'آبی', 'سال ساخت': 2019, 'حافظه RAM (گیگابایت)': 8, 'حافظه ذخیره\u200cسازی (گیگابایت)': 256, 'وضعیت فیزیکی': 'در حد نو', 'سلامت باتری': 'کمتر از ۷۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'فقط لپ\u200cتاپ', 'قیمت (تومان)': 478000000, 'توضیحات فروشنده': 'به دلیل ارتقا می\u200cفروشم، سالم و تمیز.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'Realme 9', 'رنگ': 'بنفش', 'سال تولید': 2023, 'حافظه داخلی (GB)': 256, 'وضعیت فیزیکی': 'استفاده شده ولی سالم', 'سلامت باتری': '۷۰ تا ۸۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'کامل (شارژر، هندزفری، جعبه)', 'قیمت (تومان)': 11500000, 'توضیحات فروشنده': 'دارای برچسب پشت و جلو، بدون خط.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'دنا پلاس توربو', 'رنگ': 'سبز', 'کارکرد (کیلومتر)': 125537, 'سال ساخت': 1398, 'قیمت (تومان)': 990000000, 'توضیحات فروشنده': 'استفاده بسیار کم، پارکینگ شخصی، مناسب مصرف\u200cکننده.', 'وضعیت_موتور': 'سالم', 'وضعیت_گیربکس': 'عالی', 'وضعیت_رنگ': 'نو', 'وضعیت_داخلی': 'تمیز'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'MSI GF63', 'رنگ': 'سفید', 'سال ساخت': 2022, 'حافظه RAM (گیگابایت)': 32, 'حافظه ذخیره\u200cسازی (گیگابایت)': 1024, 'وضعیت فیزیکی': 'استفاده\u200cشده ولی سالم', 'سلامت باتری': 'کمتر از ۷۰٪', 'وضعیت صفحه نمایش': 'تعویض\u200cشده', 'لوازم جانبی': 'فقط شارژر', 'قیمت (تومان)': 415000000, 'توضیحات فروشنده': 'کیبورد نورانی، مناسب کار شبانه.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'OnePlus 8T', 'رنگ': 'سبز', 'سال تولید': 2020, 'حافظه داخلی (GB)': 256, 'وضعیت فیزیکی': 'خط و خش جزئی', 'سلامت باتری': 'بالای ۹۰٪', 'وضعیت صفحه نمایش': 'LCD تعویض شده', 'لوازم جانبی': 'کامل (شارژر، هندزفری، جعبه)', 'قیمت (تومان)': 23000000, 'توضیحات فروشنده': 'تمامی اطلاعات پاک شده و آماده انتقال.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'دنا پلاس توربو', 'رنگ': 'مشکی', 'کارکرد (کیلومتر)': 102637, 'سال ساخت': 1402, 'قیمت (تومان)': 981000000, 'توضیحات فروشنده': 'سرویس روغن و فیلتر تازه انجام شده، دیسک و صفحه نو.', 'وضعیت_موتور': 'بی\u200cنقص', 'وضعیت_گیربکس': 'خوب', 'وضعیت_رنگ': 'بدون خط و خش', 'وضعیت_داخلی': 'سالم'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Microsoft Surface Pro 7', 'رنگ': 'مشکی', 'سال ساخت': 2020, 'حافظه RAM (گیگابایت)': 8, 'حافظه ذخیره\u200cسازی (گیگابایت)': 128, 'وضعیت فیزیکی': 'تمیز', 'سلامت باتری': '۷۰–۸۰٪', 'وضعیت صفحه نمایش': 'نقطه\u200cدار', 'لوازم جانبی': 'فقط لپ\u200cتاپ', 'قیمت (تومان)': 400000000, 'توضیحات فروشنده': 'فروش فوری، فقط تماس، قیمت مناسب.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'iPhone 14 Pro', 'رنگ': 'آبی', 'سال تولید': 2023, 'حافظه داخلی (GB)': 512, 'وضعیت فیزیکی': 'قاب پشت ترک خورده', 'سلامت باتری': 'کمتر از ۷۰٪', 'وضعیت صفحه نمایش': 'نقطه\u200cدار', 'لوازم جانبی': 'فقط شارژر و جعبه', 'قیمت (تومان)': 45000000, 'توضیحات فروشنده': 'کارکرد بسیار کم، به شرط سلامت کامل.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'پژو 206 تیپ 2', 'رنگ': 'خاکستری', 'کارکرد (کیلومتر)': 12743, 'سال ساخت': 1390, 'قیمت (تومان)': 462000000, 'توضیحات فروشنده': 'بدنه بی\u200cرنگ، کیلومتر واقعی، فرمان و صندلی\u200cها نو.', 'وضعیت_موتور': 'سالم', 'وضعیت_گیربکس': 'خوب', 'وضعیت_رنگ': 'نو', 'وضعیت_داخلی': 'سالم'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'Acer Nitro 5', 'رنگ': 'قرمز', 'سال ساخت': 2022, 'حافظه RAM (گیگابایت)': 8, 'حافظه ذخیره\u200cسازی (گیگابایت)': 512, 'وضعیت فیزیکی': 'خط و خش جزئی', 'سلامت باتری': 'بالای ۹۰٪', 'وضعیت صفحه نمایش': 'سالم', 'لوازم جانبی': 'فقط لپ\u200cتاپ', 'قیمت (تومان)': 358000000, 'توضیحات فروشنده': 'SSD پلمپ، حافظه بالا، شتاب فوق\u200cالعاده.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'OnePlus Nord 2', 'رنگ': 'آبی', 'سال تولید': 2021, 'حافظه داخلی (GB)': 128, 'وضعیت فیزیکی': 'در حد نو', 'سلامت باتری': '۸۰ تا ۹۰٪', 'وضعیت صفحه نمایش': 'با یک ترک ریز', 'لوازم جانبی': 'فقط شارژر و جعبه', 'قیمت (تومان)': 14200000, 'توضیحات فروشنده': 'گوشی بسیار تمیز، استفاده شخصی، بدون تعمیر.'}"
"{'دسته\u200cبندی': 'خودرو', 'مدل': 'برلیانس H330', 'رنگ': 'قهوه\u200cای', 'کارکرد (کیلومتر)': 41361, 'سال ساخت': 1396, 'قیمت (تومان)': 1555000000, 'توضیحات فروشنده': 'لاستیک\u200cها ۹۰٪، تعویض روغن تازه، موتور کاملاً بی\u200cصدا.', 'وضعیت_موتور': 'بی\u200cنقص', 'وضعیت_گیربکس': 'مناسب', 'وضعیت_رنگ': 'بدون رنگ', 'وضعیت_داخلی': 'سالم'}","{'دسته\u200cبندی': 'لپ\u200cتاپ', 'مدل': 'MSI GF63', 'رنگ': 'آبی', 'سال ساخت': 2023, 'حافظه RAM (گیگابایت)': 8, 'حافظه ذخیره\u200cسازی (گیگابایت)': 1024, 'وضعیت فیزیکی': 'در حد نو', 'سلامت باتری': 'کمتر از ۷۰٪', 'وضعیت صفحه نمایش': 'تعویض\u200cشده', 'لوازم جانبی': 'شارژر و کیف', 'قیمت (تومان)': 431000000, 'توضیحات فروشنده': 'آکبند بازشده، ضمانت باقی\u200cمانده دارد.'}","{'دسته\u200cبندی': 'تلفن همراه', 'مدل': 'Xiaomi Redmi Note 11', 'رنگ': 'طلایی', 'سال تولید': 2022, 'حافظه داخلی (GB)': 64, 'وضعیت فیزیکی': 'خط و خش جزئی', 'سلامت باتری': 'بالای ۹۰٪', 'وضعیت صفحه نمایش': 'با یک ترک ریز', 'لوازم جانبی': 'فقط گوشی', 'قیمت (تومان)': 10700000, 'توضیحات فروشنده': 'دارای برچسب پشت و جلو، بدون خط.'}"
